Year,NTACode,NTAName,BusApps,TotalBikeLanesFt,TotalPop,FemalePct,MedianAge,BachDegreeOrHigherPct,UnempPCT,MeanHouseIncome,y18
2018,MN24,SoHo-TriBeCa-Civic Center-Little Italy,111,47536.60779,42698,51,36.6,75.9,2.5,266241,1
2010,BX13,Co-op City,16,695.6502937,42778,57.2,44.2,22.5,5.7,65922,0
2018,BX34,Melrose South-Mott Haven North,46,11654.29641,42882,53.1,29.3,13,6,45094,1
2018,QN46,Bayside-Bayside Hills,37,6786.28429,43212,51.2,44.9,42.5,2.4,104934,1
2018,QN01,South Jamaica,31,3421.803948,43253,53.9,34.9,16.2,9.5,73910,1
2018,QN35,Briarwood-Jamaica Hills,25,18963.12524,43476,50.9,37.2,36.2,5.8,84052,1
2010,BK73,North Side-South Side,49,42991.88669,43620,51.9,30.1,43.1,4.7,73315,0
2018,BK33,Carroll Gardens-Columbia Street-Red Hook,48,69287.9731,43766,53,36.1,65.7,5.4,161484,1
2010,BX52,Schuylerville-Throgs Neck-Edgewater Park,38,8708.126104,43832,51.8,39.7,21.3,5.2,82069,0
2018,QN63,Woodside,54,19369.32048,43841,49.1,40.1,31.7,2.7,74166,1
2018,BX62,Woodlawn-Wakefield,31,19850.02394,43858,54.7,40.2,27.8,5.2,79562,1
2018,BK30,Dyker Heights,42,5384.946833,43888,51.3,40.5,29.4,6.8,85576,1
2010,MN11,Central Harlem South,48,15702.52498,44000,54,32.9,39.2,6,71917,0
2018,BX17,East Tremont,35,13046.58035,44057,53.5,31.6,11.6,8.9,38738,1
2018,MN27,Chinatown,76,44678.90729,44062,48.1,42.7,33.5,3.9,71131,1
2010,QN46,Bayside-Bayside Hills,19,6684.48232,44659,51.4,41.2,37.7,4.5,101870,0
2018,BK25,Homecrest,66,6745.974953,45007,51,34.1,37.9,3.8,83996,1
2010,MN15,Clinton,85,9809.707767,45225,47.5,36.7,61.8,6.2,113595,0
2018,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,61,61566.06197,45607,52.5,33.9,62.7,5.7,152758,1
2018,MN25,Battery Park City-Lower Manhattan,114,38695.58364,45680,52.4,33.8,84.5,2.7,214165,1
2010,QN63,Woodside,39,8344.578088,45839,50.9,36.5,31.3,4.8,72219,0
2010,BX62,Woodlawn-Wakefield,29,8974.098201,46045,53.8,36.5,23.2,6,76360,0
2018,BX52,Schuylerville-Throgs Neck-Edgewater Park,67,8708.126183,46810,51.7,39.4,26,4.5,85249,1
2018,BX13,Co-op City,24,22315.43964,47400,57.7,44.9,28.3,5,63295,1
2010,QN26,North Corona,69,9973.440453,47707,43.6,30,8.4,4.9,65688,0
2018,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,33,9248.163212,47726,51.5,41.3,39.6,3.2,112856,1
2018,MN20,Murray Hill-Kips Bay,78,22667.76049,47775,51.8,34.5,75.9,2.4,150899,1
2010,QN15,Far Rockaway-Bayswater,20,12192.83441,48006,54,31.6,24.3,5.4,63528,0
2010,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,25,6739.467385,48060,51.7,38.3,35.4,3.6,107256,0
2010,BK83,Cypress Hills-City Line,40,5129.871134,48182,51.2,30.6,11.6,4.3,58476,0
2018,BK83,Cypress Hills-City Line,55,5129.870951,49063,51.7,33.2,13.7,3.2,64554,1
2010,QN61,Jamaica,117,4332.131996,49124,51.6,34.9,17.3,8.6,59748,0
2010,MN01,Marble Hill-Inwood,47,15052.73269,49362,52.7,36.2,29.3,7.6,58415,0
2010,QN08,St. Albans,27,4733.538901,49614,55.1,37.6,22.8,6.9,88324,0
2010,MN04,Hamilton Heights,35,10564.55185,49667,52.2,33.6,29,6.2,65100,0
2018,MN15,Clinton,107,29896.71674,49758,46.5,38.7,69.2,4.3,130078,1
2010,MN27,Chinatown,97,36877.80913,49781,50.3,38.5,25.6,5,62677,0
2010,QN72,Steinway,42,25482.12773,50102,51.7,35.9,36.6,5.2,78711,0
2018,MN19,Turtle Bay-East Midtown,123,29819.94469,50180,54,43.1,83.2,2,223563,1
2018,QN51,Murray Hill,38,0,50231,52.4,44.7,23.1,2.4,73597,1
2010,BX28,Van Cortlandt Village,30,14083.68134,50284,54,34.1,21.8,9.1,55811,0
2010,BX05,Bedford Park-Fordham North,50,11320.93633,50524,54,29.8,15.5,6.8,45193,0
2018,BX28,Van Cortlandt Village,37,15944.26018,50935,52.6,34.3,23.3,6.2,56925,1
2010,MN09,Morningside Heights,25,10889.70421,50994,56.1,31.1,65.2,3.4,86498,0
2018,MN11,Central Harlem South,38,28386.86928,51064,52.9,35.2,45.6,4.1,99074,1
2010,MN20,Murray Hill-Kips Bay,51,9401.294156,51180,53.6,33.2,75.8,3.9,153802,0
2010,QN51,Murray Hill,22,0,51358,51.8,39.7,32.7,5.5,85392,0
2010,BX41,Mount Hope,43,14718.94888,51628,51.8,29.8,11.1,9.7,42510,0
2010,BX39,Mott Haven-Port Morris,56,19350.82558,51670,52.8,29.7,9.9,8.2,35583,0
2018,BK91,East Flatbush-Farragut,31,5064.679583,51922,55.7,39.9,25,3.8,72809,1
2010,BK43,Midwood,29,10651.17379,52093,50.7,34.2,42.8,3.5,79719,0
2018,BK81,Brownsville,44,37065.06076,52174,58.9,36.5,11.4,9.3,37269,1
2018,MN04,Hamilton Heights,52,10564.55185,52700,49,34.5,36.7,4.7,72196,1
2010,BK91,East Flatbush-Farragut,24,5064.679527,52816,56,36.7,21.2,7.5,73758,0
2018,MN01,Marble Hill-Inwood,57,21978.22225,52922,52.8,36.2,31,5.5,64581,1
2010,BX09,Soundview-Castle Hill-Clason Point-Harding Park,25,25209.90658,52963,55.7,34.9,15.7,3.9,58954,0
2018,MN09,Morningside Heights,37,20148.03952,53094,55.5,29.6,62.9,3,89331,1
2018,QN08,St. Albans,43,4733.539049,53134,53.6,39.8,24.7,5.2,93423,1
2018,BX41,Mount Hope,55,18478.90834,53198,52.3,30.5,13.4,6.8,41920,1
2010,BK81,Brownsville,51,10481.48824,53583,58.4,30.1,9.9,7.5,39825,0
